Ability	kyky
Candidate	ehdokas
Care	hoito
Career	ura
Carry	kantaa
Case	tapaus
Cash	Käteinen raha
Catch	saada kiinni
Cause	syy
Celebrate	juhlia
Center	keskusta
Century	vuosisadalla
Certain	varma
Chair	tuoli
Challenge	haaste
Chance	mahdollisuus
Change	muuttaa
Character	merkki
Charge	lataa

Read also:  Learn More Vocabulary

Chart	kartoittaa
Check	tarkistaa
Child	lapsi
Choice	valinta
Choose	valita
City	kaupunki
Claim	väittää
Class	luokka
Clean	puhdas
Clear	asia selvä
Close	kiinni
Cold	kylmä
Collect	kerätä
College	college
Color	väri-
Combine	yhdistää
Come	tule
Command	komento
Comment	kommentti
Common	yleinen
Communicate	kommunikoida
Community	Yhteisö
Company	yhtiö
Compare	vertailla
Complete	saattaa loppuun
Computer	tietokone
Concentrate	Keskity
Concern	koskea
Condition	kunto
Conference	konferenssi
Confirm	vahvistaa
Conflict	konflikti
Congress	kongressi
Connect	kytkeä
Consider	harkita
Consist	koostuvat
Consult	kuulla
Contact	ottaa yhteyttä
Contain	sisältää
Content	sisältö
Contest	kilpailu
Continue	jatkaa
Contribute	osallistua
Control	ohjaus
Convert	muuntaa
Convince	vakuuttaa
Cook	kokki
Copy	kopio
Correct	oikea
Cost	kustannus

Couple	pari
Course	kurssi
Court	tuomioistuin
Cover	peite
Crack	crack
Craft	alus
Crash	kaatua
Create	luoda
Credit	luotto
Crew	miehistö
Crime	rikos
Criticize	arvostella
Cross	ylittää
Cry	itkeä
Culture	kulttuuri
Current	nykyinen
Curve	käyrä
Cycle	sykli
Damage	vahingoittaa
Dance	tanssi
Dark	tumma
Data	tiedot
Date	Päivämäärä
Day	päivä
Dead	kuollut
Deal	sopimus
Death	kuolema
Debate	keskustelu
Decade	vuosikymmenen ajan
Decide	päättää
Decision	päätös
Deep	syvä
Defense	puolustus
Degree	tutkinto
Delay	viive
Deliver	toimittaa
Demand	kysyntä
Democrat	demokraatti
Democratic	demokraattinen
Deny	kieltää
Depend	riippuu
Describe	kuvata
Deserve	ansaitse
Design	design
Desire	himoita
Despite	huolimatta
Destroy	tuhota
Determine	määrittää
Develop	kehittää
Development	kehitystä
Die	kuole
Different	eri
Difficult	vaikea
Direction	suunta
Director	johtaja
Discipline	kurinalaisuutta
Discount	alennus
Discover	löytää
Discuss	keskustella
Disease	sairaus
Display	näyttö
Distance	etäisyys
Distribute	jakaa
Divide	jakaa
Doctor	lääkäri
Dog	koira
Door	ovi
Down	alas
Draft	luonnos
Drag	raahata
Draw	piirtää
Dream	unelma
Dress	pukeutua
Drink	juoda
Drive	ajaa
Drop	pudota
Drug	huume
Dry	kuiva
Each	jokainen
Early	aikaisin
Earn	ansaita
Ease	helppous
East	itään
Easy	helppo
Eat	syödä
Economy	talous
Edge	reuna
Education	koulutus
Effect	vaikutus
Election	vaalit
Employ	käyttää
Encourage	kannustaa
End	loppuun
Energy	energiaa
Engage	sitoutua
Enhance	parantaa
Enjoy	nauttia
Enough	tarpeeksi
Ensure	varmistaa
Environment	ympäristöön

Escape	paeta
Especially	erityisesti
Essay	essee
Establish	perustaa
Estimate	arvio
Evening	ilta
Event	tapahtuma
Ever	koskaan
Every	joka
Everybody	kaikki
Everyone	kaikki
Everything	kaikki
Evidence	todisteita
Exactly	tarkalleen
Examine	tutkia
Example	esimerkki
Exchange	vaihto
Excuse	tekosyy
Executive	johtaja
Exercise	Harjoittele
Exist	olla olemassa
Expand	laajentaa
Expect	odottaa
Experience	kokea
Expert	asiantuntija
Explain	selittää
Explore	tutkia
Expose	paljastaa
Express	ilmaista
Extend	laajentaa
Eye	silmä
Face	kasvot
Fact	tosiasia
Factor	tekijä
Fail	epäonnistua
Fall	pudota
Family	perhe
Fear	pelko
Federal	liittovaltion-
Feed	syöte
Feel	tuntea
Few	muutama
Field	ala
Fight	taistella
Figure	kuva
Film	elokuva
Final	lopullinen
Financial	taloudellinen
Find	löytö
Fine	hieno
Finish	suorittaa loppuun
Fire	antaa potkut
Firm	yritys
Fish	kalastaa
Fit	sovi
Floor	lattia
Flow	virtaus
Fly	lentää
Focus	keskittyä
Fold	taita
Follow	seuraa
Food	ruokaa
Foot	jalka
Force	pakottaa
Forget	unohtaa
Forgive	anna anteeksi
Form	muodossa
Former	entinen
Forward	eteenpäin
Frame	runko
Free	vapaa
Freeze	jäädyttää
Friend	ystävä
Front	edessä
Fry	paistaa
Full	koko
Fund	rahoittaa
Future	tulevaisuudessa
Gain	saada
Game	peli
Gap	aukko
Gather	kerätä
General	yleinen
Get	saada
Girl	tyttö
Give	antaa
Glass	lasi-
Glove	käsine
Goal	päämäärä
Good	hyvä
Government	hallitus
Great	loistava
Ground	maahan
Group	ryhmä
Grow	kasvaa
Growth	kasvu
Guard	vartija
Guess	arvaus
Guide	opas
Gun	ase

Hair	hiukset
Half	puoli
Hand	käsi
Handle	kahva
Hang	ripustaa
Happen	tapahtua
Happy	onnellinen
Hard	kova
Harm	vahingoittaa
Hate	vihata
Head	pää
Health	terveyttä
Hear	kuulla
Heart	sydän
Heat	lämpöä
Help	auta
Hesitate	epäröi
Hide	piilottaa
High	korkea
Highlight	kohokohta
Hire	vuokraus
History	historia
Hit	osuma
Hold	pidä
Home	Koti
Hope	toivoa
Hospital	sairaala
Host	isäntä
Hot	kuuma
Hour	tunnin
House	talo
Huge	valtava
Human	ihmisen
Hurry	kiire
Hurt	satuttaa
Husband	aviomies
Idea	idea
Identify	tunnistaa
Ignore	jättää huomiotta
Illustrate	havainnollistaa
Image	kuva
Imagine	kuvitella
Impact	vaikutus
Implement	toteuttaa
Imply	vihjata
Important	tärkeä
Impress	tehdä vaikutus
Improve	parantaa
Include	sisältää
Incorporate	sisällyttää
Increase	lisääntyä
Indicate	osoittaa
Individual	yksilöllinen
Industry	ala
Influence	vaikutus
Inform	ilmoittaa
Information	tiedot
Inside	sisällä
Install	Asentaa
Instead	sen sijaan
Institution	instituutio
Interest	kiinnostuksen kohde
International	kansainvälinen
Interview	haastatella
Introduce	esitellä
Invest	sijoittaa
Investigate	tutkia
Invite	kutsua
Involve	ottaa mukaan
Iron	rauta-
Issue	ongelma
Job	Job
Join	liittyä seuraan
Joke	vitsi
Judge	tuomari
Jump	hypätä
Just	vain
Keep	pitää
Kick	potkia
Kid	lapsi
Kill	tappaa
Kiss	suudella
Knit	neuloa
Know	tietää
Knowledge	tietoa
Lack	puute
Land	maa
Language	Kieli
Large	suuri
Last	kestää
Late	myöhään
Laugh	nauraa
Law	laki
Leader	johtaja
Learn	oppia
Leave	lähteä
Left	vasemmalle
Leg	jalka
Legal	laillista
Lend	lainata
Read also:  Alphabets

Less	Vähemmän
Letter	kirje
Level	taso
Life	elämää
Lift	hissi
Light	valo
Like	Kuten
Limit	raja
Line	linja
Lip	huuli
List	lista
Listen	kuunnella
Little	vähän
Live	elää
Load	ladata
Local	paikallinen
Lock	Lukko
Long	pitkä
Look	Katso
Loss	tappio
Lost	kadonnut
Love	rakkaus
Low	matala
Mail	postitse
Main	tärkein
Maintain	ylläpitää
Major	suuri
Make	tehdä
Manage	hallita
Manager	johtaja
Manufacturing	valmistus
Many	monet
Market	markkinoida
Match	ottelu
Material	materiaalia
Matter	asia
Mean	tarkoittaa
Measure	mitata
Media	media
Medical	lääketieteellinen
Meet	tavata
Member	jäsen
Memory	muisti
Mention	mainita
Message	viesti
Middle	keskellä
Military	armeija
Mind	mieli
Minute	minuutti
Mistake	virhe
Model	malli-
Moment	hetki
Money	raha
Month	kuukausi
More	lisää
Morning	aamu
Most	suurin osa
Move	liikkua
Movie	elokuva
Much	paljon
Music	musiikkia
Must	on pakko
Myself	itse
Name	nimi
Nation	kansakunta
Nature	luonto
Near	lähellä
Necessary	tarpeen
Need	tarve
Neglect	laiminlyödä
Negotiate	neuvotella
Nerve	hermo
Network	verkkoon
Never	ei milloinkaan
New	Uusi
Next	Seuraava
Nice	kiva
Night	yö-
No	ei
North	pohjoinen
Not	ei
Note	merkintä
Nothing	ei mitään
Notice	ilmoitus
Now	nyt
Number	määrä
Obtain	saada
Occur	esiintyä
Offer	tarjous
Office	toimisto
Often	usein
Oil	öljy
Old	vanha
Once	kerran
Only	vain
Open	avata
Operate	toimivat
Opportunity	tilaisuus
Order	Tilaus
Organize	järjestää

Other	muut
Out	ulos
Outside	ulkopuolella
Over	yli
Own	oma
Pack	pakkaus
Page	sivu
Pain	kipu
Paint	maali
Paper	paperi
Parent	vanhempi
Park	pysäköidä
Party	juhla
Pass	kulkea
Past	ohi
Patient	potilas
Pattern	kuvio
Pause	tauko
Pay	maksaa
Peace	rauhaa
People	ihmiset
Perfect	täydellinen
Perform	suorittaa
Perhaps	kenties
Period	ajanjaksolla
Permit	lupa
Person	henkilö
Personal	henkilökohtainen
Persuade	suostutella
Phone	puhelin
Physical	fyysinen
Pick	valita
Picture	kuva
Piece	pala
Pin	tappi
Pitch	piki
Place	paikka
Plan	suunnitelma
Plant	tehdas
Plate	lautanen
Play	pelata
Please	ole kiltti
Point	kohta
Police	Poliisi
Policy	käytäntö
Political	poliittinen
Poor	huono
Popular	suosittu
Population	väestö
Position	asema
Possible	mahdollista
Post	lähettää
Pot	potti
Pour	kaada
Power	tehoa
Practice	harjoitella
Prefer	mieluummin
Prepare	valmistella
Present	esittää
Press	Lehdistö
Pressure	paine
Pretty	nätti
Prevent	estää
Price	hinta
Pride	ylpeys
Print	Tulosta
Private	yksityinen
Probably	todennäköisesti
Problem	ongelma
Process	käsitellä asiaa
Produce	tuottaa
Product	tuote
Professor	professori
Program	ohjelmoida
Project	hanke
Promise	lupaus
Prompt	kehote
Property	omaisuutta
Propose	ehdottaa
Protect	suojella
Prove	todistaa
Provide	tarjota
Public	julkinen
Pull	Vedä
Punch	booli
Purchase	ostaa
Purpose	tarkoitus
Pursue	jatkaa
Push	työntää
Put	laittaa
Quality	laatu
Question	kysymys
Quick	nopea
Quit	lopettaa
Race	rotu
Radio	radio
Rain	sade
Raise	nostaa
Range	valikoima
Rate	korko

Rather	pikemminkin
Reach	saavuttaa
React	reagoida
Read	lukea
Ready	valmis
Real	todellinen
Realize	tajuta
Really	Todella
Receive	vastaanottaa
Recent	viimeaikainen
Recently	äskettäin
Recognize	tunnistaa
Recommend	suositella
Record	ennätys
Recover	toipua
Reduce	vähentää
Refer	viitata
Reflect	heijastaa
Refuse	kieltäytyä
Region	alueella
Register	rekisteröi
Regret	pahoillani
Relationship	suhde
Relax	rentoutua
Release	vapauta
Relieve	lievittää
Remain	jäädä jäljelle
Remember	muistaa
Remind	muistuttaa
Remove	Poista
Rent	vuokrata
Repair	korjaus
Repeat	toistaa
Replace	korvata
Reply	Vastaa
Report	raportti
Represent	edustaa
Request	pyyntö
Require	vaatia
Research	tutkimus
Reserve	varata
Resist	vastustaa
Resolve	ratkaista
Resort	lomakeskus
Resource	resurssi
Respect	kunnioittaminen
Respond	vastata
Response	vastaus
Rest	levätä
Result	tulos
Retain	säilyttää
Retire	jäädä eläkkeelle
Return	palata
Reveal	paljastaa
Review	arvostelu
Reward	palkinto
Ride	ratsastaa
Right	oikein
Ring	rengas
Rise	nousta
Risk	riski
Road	tie
Rock	rock
Role	rooli
Room	huone
Rule	sääntö
Run	juosta
Rush	kiire
Sail	purjehtia
Same	sama
Save	Tallentaa
Say	sanoa
Scene	näkymä
School	koulu
Science	tiede
Scratch	naarmu
Script	käsikirjoitus
Sea	meri
Search	Hae
Season	kausi
Seat	istuin
Second	toinen
Security	turvallisuus
Seek	etsiä
Seem	näyttävät
Select	valitse
Sell	myydä
Send	lähettää
Sense	järkeä
Separate	erillinen
Series	sarja
Serious	vakava
Serve	palvella
Service	palvelu
Set	aseta
Settle	asettua
Several	useita
Shake	ravista

Read also:  Common Sentences

Share	Jaa
Shine	paistaa
Ship	alus
Shock	shokki
Shoot	ampua
Short	lyhyt
Shoulder	olkapää
Show	näytä
Shower	suihku
Side	puolella
Sign	merkki
Significant	merkittävä
Similar	samankaltaisia
Simple	yksinkertainen
Sing	laulaa
Single	yksittäinen
Sit	istua
Site	sivusto
Situation	tilanne
Size	koko
Skill	taito
Sleep	nukkua
Slice	viipale
Slide	dia
Slip	lipsahdus
Small	pieni
Smell	haju
Smile	hymy
Smoke	savu
Social	sosiaalinen
Society	yhteiskuntaa
Solve	ratkaista
Some	jonkin verran
Something	jotain
Sometimes	joskus
Song	laulu
Soon	pian
Sort	järjestellä
Sound	ääni
Source	lähde
South	etelään
Space	tilaa
Speak	puhua
Special	erityinen
Specific	erityinen
Speed	nopeus
Spell	loitsu
Spend	viettää
Spirit	henki
Spite	huolimatta
Split	jakaa
Sport	Urheilu
Spot	paikalla
Spray	spray
Spread	levitän
Spring	kevät
Stable	vakaa
Staff	henkilökunta
Stage	vaiheessa
Stand	seistä
Standard	standardi
Star	tähti
Start	alkaa
Statement	lausunto
Station	asema
Stay	pysyä
Step	askel
Stick	tikku
Still	edelleen
Stock	varastossa
Stop	lopettaa
Store	myymälä
Story	tarina
Strain	rasitusta
Strategy	strategia
Street	katu
Stretch	venyttää
Strike	lakko
String	merkkijono
Strip	nauha
Stroke	aivohalvaus
Strong	vahva
Structure	rakenne
Struggle	kamppailu
Student	opiskelija
Study	tutkimus
Stuff	tavaraa
Style	tyyli
Subject	aihe
Submit	Lähetä
Success	menestys
Suddenly	yhtäkkiä
Suffer	kärsiä
Suggest	ehdottaa
Summer	kesä
Supply	toimittaa
Support	tuki
Suppose	olettaa
Sure	varma
Surprise	yllätys

Surround	ympäröi
Survey	kysely
Suspect	epäilty
Swim	uida
Switch	vaihtaa
System	järjestelmä
Table	pöytä
Take	ottaa
Talk	puhua
Tank	säiliö
Tap	napauta
Taste	maku
Tax	verottaa
Teach	opettaa
Teacher	opettaja
Team	tiimi
Tear	repiä
Technology	tekniikkaa
Television	televisio
Tell	kertoa
Tend	taipumus
Term	termi
Test	testata
Text	teksti
Thank	kiittää
Theory	teoria
There	siellä
Thing	asia
Think	ajatella
Thought	ajattelin
Thousand	tuhat
Throw	heittää
Time	aika
Today	tänään
Together	yhdessä
Top	alkuun
Touch	kosketus
Tour	kiertue
Toward	kohti
Town	kaupunki
Trade	käydä kauppaa
Traditional	perinteinen
Traffic	liikennettä
Train	kouluttaa
Training	koulutus
Translate	Kääntää
Trash	roskakoriin
Travel	matkustaa
Treat	kohdella
Treatment	hoitoon
Tree	puu
Trial	oikeudenkäynti
Trip	matka
Trouble	ongelmia
TRUE	TOTTA
Trust	luottamus
Truth	totuus
Try	yrittää
Turn	vuoro
Twist	kierre
Type	tyyppi
Under	alla
Understand	ymmärtää
Unit	yksikkö
Until	siihen asti kun
Up	ylös
Upon	päälle
Upset	poissa tolaltaan
Use	käyttää
Usually	yleensä
Vacuum	tyhjiö
Value	arvo
View	näkymä
Visit	vierailla
Voice	ääni
Wait	odota
Wake	herätä
Walk	kävellä
Wall	seinään
Want	haluta
War	sota
Warn	varoittaa
Wash	pestä
Waste	jätettä
Watch	katsella
Water	vettä
Wave	Aalto
Way	tapa
Weapon	ase
Wear	pitää päällä
Week	viikko
Weight	paino
Well	hyvin
Whole	koko
Wide	leveä
Wife	vaimo
Window	ikkuna
Wonder	ihme
Word	sana
Work	tehdä työtä
World	maailman
Worry	huoli
Wrap	kääri
Write	kirjoittaa
Wrong	väärä
Year	vuosi
Yes	Joo
Young	nuori
